STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,unit,Unit of measure,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HR,Croatia,2022,,G_KM,Grams per kilometre,127.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HR,Croatia,2023,,G_KM,Grams per kilometre,127.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2014,,G_KM,Grams per kilometre,133,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2015,,G_KM,Grams per kilometre,129.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2016,,G_KM,Grams per kilometre,125.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2017,,G_KM,Grams per kilometre,152.2,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2018,,G_KM,Grams per kilometre,155,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2019,,G_KM,Grams per kilometre,157.2,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2020,,G_KM,Grams per kilometre,141.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2021,,G_KM,Grams per kilometre,133.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2022,,G_KM,Grams per kilometre,131.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,HU,Hungary,2023,,G_KM,Grams per kilometre,127.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2014,,G_KM,Grams per kilometre,117.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2015,,G_KM,Grams per kilometre,114.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2016,,G_KM,Grams per kilometre,112,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2017,,G_KM,Grams per kilometre,135.3,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2018,,G_KM,Grams per kilometre,137.3,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2019,,G_KM,Grams per kilometre,137.9,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2020,,G_KM,Grams per kilometre,130,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2021,,G_KM,Grams per kilometre,112.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2022,,G_KM,Grams per kilometre,100.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IE,Ireland,2023,,G_KM,Grams per kilometre,93.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IS,Iceland,2018,,G_KM,Grams per kilometre,141.6,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IS,Iceland,2019,,G_KM,Grams per kilometre,138.5,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IS,Iceland,2020,,G_KM,Grams per kilometre,96.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IS,Iceland,2021,,G_KM,Grams per kilometre,80.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IS,Iceland,2022,,G_KM,Grams per kilometre,76.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IS,Iceland,2023,,G_KM,Grams per kilometre,61.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2014,,G_KM,Grams per kilometre,118.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2015,,G_KM,Grams per kilometre,115.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2016,,G_KM,Grams per kilometre,113.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2017,,G_KM,Grams per kilometre,137.3,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2018,,G_KM,Grams per kilometre,140.5,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2019,,G_KM,Grams per kilometre,144.7,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2020,,G_KM,Grams per kilometre,132.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2021,,G_KM,Grams per kilometre,120.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2022,,G_KM,Grams per kilometre,119.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,IT,Italy,2023,,G_KM,Grams per kilometre,120.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2014,,G_KM,Grams per kilometre,135.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2015,,G_KM,Grams per kilometre,130,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2016,,G_KM,Grams per kilometre,126.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2017,,G_KM,Grams per kilometre,154.4,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2018,,G_KM,Grams per kilometre,155.9,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2019,,G_KM,Grams per kilometre,160,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2020,,G_KM,Grams per kilometre,146.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2021,,G_KM,Grams per kilometre,135.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2022,,G_KM,Grams per kilometre,135.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LT,Lithuania,2023,,G_KM,Grams per kilometre,129.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2014,,G_KM,Grams per kilometre,129.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2015,,G_KM,Grams per kilometre,127.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2016,,G_KM,Grams per kilometre,126.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2017,,G_KM,Grams per kilometre,153.9,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2018,,G_KM,Grams per kilometre,159.3,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2019,,G_KM,Grams per kilometre,161.2,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2020,,G_KM,Grams per kilometre,143.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2021,,G_KM,Grams per kilometre,123.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2022,,G_KM,Grams per kilometre,115.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LU,Luxembourg,2023,,G_KM,Grams per kilometre,105.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2014,,G_KM,Grams per kilometre,140.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2015,,G_KM,Grams per kilometre,137.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2016,,G_KM,Grams per kilometre,128.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2017,,G_KM,Grams per kilometre,156.1,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2018,,G_KM,Grams per kilometre,156.1,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2019,,G_KM,Grams per kilometre,155,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2020,,G_KM,Grams per kilometre,146.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2021,,G_KM,Grams per kilometre,142.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2022,,G_KM,Grams per kilometre,134.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,LV,Latvia,2023,,G_KM,Grams per kilometre,132.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2014,,G_KM,Grams per kilometre,115.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2015,,G_KM,Grams per kilometre,113.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2016,,G_KM,Grams per kilometre,111.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2017,,G_KM,Grams per kilometre,134.5,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2018,,G_KM,Grams per kilometre,130.5,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2019,,G_KM,Grams per kilometre,132.2,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2020,,G_KM,Grams per kilometre,128.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2021,,G_KM,Grams per kilometre,107.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2022,,G_KM,Grams per kilometre,91.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,MT,Malta,2023,,G_KM,Grams per kilometre,91.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2014,,G_KM,Grams per kilometre,107.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2015,,G_KM,Grams per kilometre,101.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2016,,G_KM,Grams per kilometre,105.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2017,,G_KM,Grams per kilometre,131.3,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2018,,G_KM,Grams per kilometre,127.9,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2019,,G_KM,Grams per kilometre,119.3,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2020,,G_KM,Grams per kilometre,104.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2021,,G_KM,Grams per kilometre,95.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2022,,G_KM,Grams per kilometre,86.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NL,Netherlands,2023,,G_KM,Grams per kilometre,74.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NO,Norway,2021,,G_KM,Grams per kilometre,27.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NO,Norway,2022,,G_KM,Grams per kilometre,17.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,NO,Norway,2023,,G_KM,Grams per kilometre,14.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2014,,G_KM,Grams per kilometre,132.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2015,,G_KM,Grams per kilometre,129.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2016,,G_KM,Grams per kilometre,125.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2017,,G_KM,Grams per kilometre,154.7,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2018,,G_KM,Grams per kilometre,157.3,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2019,,G_KM,Grams per kilometre,158,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2020,,G_KM,Grams per kilometre,146,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2021,,G_KM,Grams per kilometre,137.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2022,,G_KM,Grams per kilometre,135.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PL,Poland,2023,,G_KM,Grams per kilometre,132.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2014,,G_KM,Grams per kilometre,108.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2015,,G_KM,Grams per kilometre,105.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2016,,G_KM,Grams per kilometre,104.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2017,,G_KM,Grams per kilometre,126.9,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2018,,G_KM,Grams per kilometre,128.6,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2019,,G_KM,Grams per kilometre,132.6,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2020,,G_KM,Grams per kilometre,118,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2021,,G_KM,Grams per kilometre,107.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2022,,G_KM,Grams per kilometre,103.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,PT,Portugal,2023,,G_KM,Grams per kilometre,89.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2014,,G_KM,Grams per kilometre,128.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2015,,G_KM,Grams per kilometre,125,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2016,,G_KM,Grams per kilometre,122,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2017,,G_KM,Grams per kilometre,146.2,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2018,,G_KM,Grams per kilometre,147.3,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2019,,G_KM,Grams per kilometre,150.7,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2020,,G_KM,Grams per kilometre,138.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2021,,G_KM,Grams per kilometre,125.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2022,,G_KM,Grams per kilometre,119.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,RO,Romania,2023,,G_KM,Grams per kilometre,116.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2014,,G_KM,Grams per kilometre,131,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2015,,G_KM,Grams per kilometre,126.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2016,,G_KM,Grams per kilometre,123.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2017,,G_KM,Grams per kilometre,148.2,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2018,,G_KM,Grams per kilometre,148.1,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2019,,G_KM,Grams per kilometre,145.1,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2020,,G_KM,Grams per kilometre,111.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2021,,G_KM,Grams per kilometre,88.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2022,,G_KM,Grams per kilometre,66.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SE,Sweden,2023,,G_KM,Grams per kilometre,61,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2014,,G_KM,Grams per kilometre,121.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2015,,G_KM,Grams per kilometre,119.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2016,,G_KM,Grams per kilometre,119,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2017,,G_KM,Grams per kilometre,145,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2018,,G_KM,Grams per kilometre,146.5,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2019,,G_KM,Grams per kilometre,150,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2020,,G_KM,Grams per kilometre,138.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2021,,G_KM,Grams per kilometre,133.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2022,,G_KM,Grams per kilometre,129.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SI,Slovenia,2023,,G_KM,Grams per kilometre,123.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SK,Slovakia,2014,,G_KM,Grams per kilometre,131.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SK,Slovakia,2015,,G_KM,Grams per kilometre,127.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SK,Slovakia,2016,,G_KM,Grams per kilometre,124.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,SK,Slovakia,2017,,G_KM,Grams per kilometre,152.8,,be,"break in time series, estimated",,
