geo,TIME_PERIOD,ELC,TOTAL,EV_share,CO2_g_km
ES,2017,9681.0,24676557.0,0.039231567029387446,139.4
ES,2018,15865.0,25304190.0,0.06269712644427662,143.1
ES,2019,26197.0,25836586.0,0.10139497532684852,147.0
ES,2020,43203.0,26034347.0,0.1659461633510531,135.5
ES,2021,66085.0,26293882.0,0.25133223006020944,126.0
ES,2022,95617.0,26605478.0,0.35938839362329816,121.5
ES,2023,150282.0,26778142.0,0.5612114537296874,117.5
EU27_2020,2014,76277.0,224317337.0,0.03400405916908687,123.1
EU27_2020,2015,120093.0,225651590.0,0.0532205423414034,119.1
EU27_2020,2016,168279.0,230249119.0,0.07308562166528854,117.6
EU27_2020,2017,246099.0,236047946.0,0.10425805611543003,143.0
EU27_2020,2018,357349.0,240409941.0,0.14864152393764782,145.6
EU27_2020,2019,590393.0,244850251.0,0.24112411467366637,148.0
EU27_2020,2020,1093450.0,247656045.0,0.44151960837459064,130.8
EU27_2020,2021,1940889.0,250246879.0,0.7755896927689555,115.7
EU27_2020,2022,3015595.0,252612228.0,1.193764460206574,109.8
EU27_2020,2023,4434976.0,256129947.0,1.731533564093542,107.6
FI,2014,386.0,3172735.0,0.012166159480700406,127.4
FI,2015,657.0,3234860.0,0.020309997959726232,123.0
FI,2016,889.0,3322672.0,0.026755575031179722,120.0
FI,2017,1538.0,3398937.0,0.04524944122235864,143.3
FI,2018,2500.0,3470507.0,0.07203558442613717,141.4
FI,2019,4830.0,3549803.0,0.13606388861579077,139.7
FI,2020,9959.0,3607531.0,0.27606138381070044,120.0
FI,2021,23497.0,3641532.0,0.6452504055985229,98.3
FI,2022,46584.0,3673750.0,1.2680231371214699,85.3
FI,2023,86011.0,3718278.0,2.3131944410826732,60.9
FR,2014,25950.0,36647883.0,0.07080900143672691,114.2
FR,2015,41901.0,37180101.0,0.11269738078441476,111.0
FR,2016,61338.0,37673476.0,0.16281481432719402,109.8
FR,2017,82481.0,38117663.0,0.21638524901172457,133.8
FR,2018,106489.0,38229305.0,0.278553324471894,136.0
FR,2019,141357.0,38421218.0,0.36791389591032747,137.9
FR,2020,245106.0,38467643.0,0.6371744689426384,121.1
FR,2021,403326.0,38814659.0,1.0391074155771922,108.6
FR,2022,595797.0,38856492.0,1.5333267861648447,103.1
FR,2023,868233.0,39258632.0,2.2115722218746696,96.8
HR,2014,39.0,1474495.0,0.0026449733637618302,115.8
HR,2015,163.0,1499802.0,0.010868101256032462,112.8
HR,2016,233.0,1552904.0,0.01500414706897529,111.5
HR,2017,285.0,1596087.0,0.017856169494520034,137.1
HR,2018,461.0,1666413.0,0.02766421049283701,139.7
HR,2019,725.0,1724900.0,0.04203142211142675,144.7
HR,2020,1314.0,1746285.0,0.07524544962592017,135.2
HR,2021,2977.0,1795465.0,0.16580662948038533,127.9
HR,2022,4801.0,1840767.0,0.2608151927973502,127.3
HR,2023,7058.0,1910131.0,0.369503452904539,127.1
HU,2014,175.0,3107695.0,0.00563118324031155,133.0
HU,2015,342.0,3196856.0,0.010698010795606684,129.6
HU,2016,758.0,3313206.0,0.02287814280186623,125.9
HU,2017,1996.0,3471997.0,0.0574885289359409,152.2
HU,2018,3839.0,3641823.0,0.10541423896768184,155.0
HU,2019,6595.0,3812013.0,0.1730057059091876,157.2
HU,2020,11012.0,3920799.0,0.28086112039918393,141.4
HU,2021,18823.0,4020159.0,0.468215311881943,133.1
HU,2022,29836.0,4094129.0,0.7287508527454802,131.2
HU,2023,41212.0,4168651.0,0.9886171809537426,127.4
IE,2014,560.0,2018310.0,0.027745985502722576,117.1
IE,2015,1120.0,2060170.0,0.05436444565254324,114.1
IE,2016,1700.0,2102720.0,0.08084766397808553,112.0
IE,2017,2770.0,2142390.0,0.12929485294460857,135.3
IE,2018,4610.0,2182920.0,0.21118501823245928,137.3
IE,2019,8590.0,2253210.0,0.38123388410312403,137.9
IE,2020,12720.0,2291940.0,0.5549883504803791,130.0
IE,2021,21440.0,2309760.0,0.9282349681352174,112.6
IE,2022,36970.0,2335130.0,1.583209500113484,100.7
IE,2023,59400.0,2404140.0,2.470737976989693,93.7
IS,2018,2684.0,267467.0,1.0034882807972574,141.6
IS,2019,3749.0,269825.0,1.389419067914389,138.5
IS,2020,6271.0,269615.0,2.3259091667748457,96.3
IS,2021,6316.0,289017.0,2.1853385786995227,80.3
IS,2022,11160.0,287368.0,3.8835221736588625,76.1
IS,2023,28400.0,256000.0,11.09375,61.9
